<s> Sue took it home carefully . </s>	<s> She put it in a tank and fed it . </s>
<s> Bob had been nervous about this day for weeks . </s>	<s> Bob put on his backpack and walked outside to get the bus . </s>
<s> When Sue came to the car he could see she had a black eye . </s>	<s> He was furious . </s>
<s> He was surprised that his parents let him spend it . </s>	<s> After that , Bob looked for money on the sidewalk every day . </s>
<s> Sue was on a church trip to go ice skating . </s>	<s> She had never done it before and was a bit nervous . </s>
<s> Bob later tried out for his soccer team . </s>	<s> Bob was finally able to make it because of his hard work . </s>
<s> Bob liked to drive fast . </s>	<s> He had lots of tickets for speeding . </s>
<s> Sue had decided college wasn 't for her . </s>	<s> After a few Year 's of low paying jobs , she decided to go school . </s>
<s> When her friends arrived they gave her presents . </s>	<s> Her friend Sue gave her a shirt . </s>
<s> They were trying to decide on a game to play . </s>	<s> Sue suggested board games and computer games . </s>
<s> All Sue wanted was to go to the friends . </s>	<s> She waited thinking he ate way too slow . </s>
<s> Bob put down $ 5 on red . </s>	<s> The ball came up black and Bob felt terrible . </s>
<s> Sue ran around looking at the sky . </s>	<s> She fell down from running too fast . </s>
<s> They fell in love with a pretty black and white cat . </s>	<s> His kids begged Bob to take it home . </s>
<s> Bob did not want to go out to eat and planned a surprise instead . </s>	<s> He went to the kitchen and started cooking . </s>
<s> Bob was riding his dirt bike in the woods . </s>	<s> He began to ride down a small dirt road away from his friends . </s>
<s> Sue 's mom told her over and over again not to jump on the bed . </s>	<s> But it was so much fun ! </s>
<s> He noticed that he left a light on in the kitchen . </s>	<s> Bob got out of the car and went back inside . </s>
<s> Sue was planning to go to the park with her kids on Sunday . </s>	<s> When she work up Sunday morning it was dark and rainy . </s>
<s> Sue got so mad that she punched the wall . </s>	<s> Sue felt terrible about what she did afterwards . </s>
<s> She picked the bag up and carried it inside the store </s>	<s> Sue gave the bag to the store manager . </s>
<s> Bob was the star of the high school basketball team . </s>	<s> Then one night , he was in a terrible car accident . </s>
<s> One morning Bob woke up . </s>	<s> He realized he was late . </s>
<s> Bob drove into town to eat . </s>	<s> He got a burger at a fast food restaurant . </s>
<s> There are ten different movies coming out that Bob wants to see . </s>	<s> His girlfriend only wants to see about three of them . </s>
<s> One day a young child came into his yard and asked why he was so mean . </s>	<s> Bob threw a basketball at the kid 's head . </s>
<s> Sue left and went back home . </s>	<s> Now Sue had to keep her grandma from seeing the paint . </s>
<s> Sue 's boyfriend was in a band . </s>	<s> He invited Sue to his house to listen to his band . </s>
<s> Sue couldn 't wait to bring her doll to show and tell . </s>	<s> She told the class how much she loved her pretty doll . </s>
<s> To her surprise , it wasn 't too bad . </s>	<s> Sue decided to drink tea more often . </s>
<s> It never came . </s>	<s> Bob wondered why . </s>
<s> Sue gave the bag to the store manager . </s>	<s> The store manager and Sue looked inside the bag together . </s>
<s> She went shopping and spent hours trying to find her perfect dress . </s>	<s> The day of prom , Sue put on her perfect dress . </s>
<s> Bob was his high school 's soccer star . </s>	<s> One day he was playing in a big game . </s>
<s> Bob ended up buying his wife a bike as well . </s>	<s> Now Bob and his wife ride together all of the time . </s>
<s> Sue gets on the bus every morning . </s>	<s> She hates the bus . </s>
<s> As they arrived Sue was afraid to leave go inside . </s>	<s> The lady held her hand and walked her into the station . </s>
<s> Bob felt in love with the woman that hit his car . </s>	<s> He no longer has the blue car . </s>
<s> She wanted to do something else but he wouldn 't let her . </s>	<s> Sue looked at grandpa and saw he was asleep . </s>
<s> It was Sue 's turn to do the dishes . </s>	<s> Sue didn 't want to do them . </s>
<s> Sue was in trouble . </s>	<s> She had taken her sister with her to May 's </s>
<s> All of a sudden they ran into a bear . </s>	<s> Bob 's friends all ran . </s>
<s> Bob was an hour late . </s>	<s> Once he arrived he found out that they couldn 't keep the appointment . </s>
<s> Bob hated board games . </s>	<s> He thought they were boring . </s>
<s> Bob wanted to bake a cake . </s>	<s> He didn 't know how to bake a cake . </s>
<s> Sue was friends with the cool kids at her school . </s>	<s> Now her old friends were getting jealous . </s>
<s> Bob liked playing the piano . </s>	<s> His mom signed him up for lessons . </s>
<s> Sue always had to leave two hours early to catch the bus for work . </s>	<s> She was tired of leaving so early but didn 't have the money for a car . </s>
<s> Bob was invited to a friend 's house for a party . </s>	<s> He never really liked the friend . </s>
<s> Sue had just arrived home after school one cold afternoon . </s>	<s> Once again , she couldn 't find her key . </s>
<s> Bob set a glass of water near his computer . </s>	<s> He wasn 't watching what he was doing . </s>
<s> Sue asked Bob to start a fire . </s>	<s> Bob began starting a fire . </s>
<s> Bob thinks women have a problem getting to the point . </s>	<s> One evening he came home late . </s>
<s> Sue and I bought a new kitten . </s>	<s> When we got home , it immediately hid under the bed . </s>
<s> Bob 's kids hated coming inside to eat lunch . </s>	<s> He thought they would like a picnic table so they could eat outside </s>
<s> The coach decided to give Bob another chance . </s>	<s> Bob made the team ! </s>
<s> Bob tried to run away . </s>	<s> The police eventually caught up with him . </s>
<s> Sue hit the girl back and a fight broke out . </s>	<s> The bus driver pulled over and broke them up . </s>
<s> Her sister ran past her into the living room . </s>	<s> Sue didn 't want to tell her mom she lost her key . </s>
<s> Bob worked at a gas station . </s>	<s> He did not like his job very much . </s>
<s> She decided to spent a day sleeping in . </s>	<s> Sue felt a lot better the next day . </s>
<s> Sue said that she 'd give it to him tomorrow . </s>	<s> The next day Bob asked her for the money . </s>
<s> Sue had been taking care of the baby at night for the past week . </s>	<s> She needed her husband to take over for a night so she could sleep . </s>
<s> Sue had a big test of Friday . </s>	<s> She put off studying all week long . </s>
<s> Every year for Christmas Bob received a fruit basket from his mom . </s>	<s> He never ate the fruit basket and always gave it away . </s>
<s> Sue was getting bored sitting at home . </s>	<s> Then she remembered she could do art . </s>
<s> His girlfriend suggested to cut it short because it was hot . </s>	<s> Bob cut his hair very short . </s>
<s> He got his keys and started his car . </s>	<s> Bob drove to the store . </s>
<s> His son Bob caught him eating the burger . </s>	<s> Bob gave him half the burger to keep quiet . </s>
<s> He ran out of time before he had to eat with the family . </s>	<s> Bob could not finish putting up lights before Thanksgiving was over . </s>
<s> When she got home her mom was mad she didn 't get some for everyone . </s>	<s> She handed Sue some money and sent her back to the store </s>
<s> Bob forgot to wash the dishes . </s>	<s> When my dad found out , he grounded Bob . </s>
<s> She hadn 't told her grandma she was going to the pool . </s>	<s> All Sue wanted was to go home and sleep . </s>
<s> Her boyfriend was working late one night . </s>	<s> Sue decided to go out and eat . </s>
<s> Bob tried to start his car . </s>	<s> It wouldn 't turn over . </s>
<s> The toy would not turn on and was broken . </s>	<s> Sue 's daughter was very sad . </s>
<s> Sue thought Bob was very cute . </s>	<s> She was too shy to ask him out . </s>
<s> Sue offered to change her plans but her mom said no . </s>	<s> Her mom won 't talk to her now . </s>
<s> It was a really hot day outside . </s>	<s> Sue decided to cool off by getting some ice cream . </s>
<s> She wanted to talk about anything But Bob . </s>	<s> But all Sue talked about was him . </s>
<s> His parents told him he was grounded until it was clean . </s>	<s> Bob decided he still didn 't want to clean . </s>
<s> Bob practiced for months . </s>	<s> Bob had gotten really good at guitar . </s>
<s> She was walking around with one of her close friends . </s>	<s> Bob refused to watch and walked off . </s>
<s> Sue 's mother said that they would all have fun . </s>	<s> Sue 's mother came home from the hospital with the baby . </s>
<s> The bully was grounded by his parents . </s>	<s> Bob was happy that he managed to stop the bully . </s>
<s> There was cute guy who worked there . </s>	<s> Sue spotted him outside talking to a girl . </s>
<s> Sue was missing her grandfather who recently passed away . </s>	<s> She was thinking about him as she walked down the sidewalk . </s>
<s> Bob did not have what he needed , so he went to the store . </s>	<s> Bob bought the ingredients he needed . </s>
<s> Bob said he would use the money for lunch . </s>	<s> And Bob expected him to pay the money back . </s>
<s> Sue was looking forward to her first date with Bob . </s>	<s> She was going to meet Bob at a local restaurant . </s>
<s> Bob really wanted to learn . </s>	<s> He asked his friend Bob to work with him . </s>
<s> Bob came home from work . </s>	<s> Although his brother was sleeping in his room , he turned on the lights </s>
<s> Sue wanted a dog . </s>	<s> Her parents bought her one . </s>
<s> His wife loved his cooking . </s>	<s> On Friday night , Bob cooked something his wife didn 't like . </s>
<s> Bob decided to tell his principal . </s>	<s> The principal told his bully to stop . </s>
<s> Bob 's car broke down . </s>	<s> He needed to go to work , so he called a friend to ask for a ride . </s>
<s> Bob thought it was a great day to play outside with his friends . </s>	<s> They decided to play basketball . </s>
<s> It was due tomorrow . </s>	<s> Bob spend all night writing the essay . </s>
<s> She went home to get started on the project . </s>	<s> Sue 's mom was proud that she didn 't ask for any help . </s>
<s> But he spent too much time planning . </s>	<s> Bob spent 2 hours planning a trip to the park . </s>
<s> Bob called his mom but her number had changed . </s>	<s> He went by her house but she moved . </s>
<s> She went up and talked to them . </s>	<s> Sue became good friends with them . </s>
<s> One day her older brother left the window open . </s>	<s> Sue 's kitten got out and was never seen again . </s>
<s> Sue 's spent $ 30 on a cool hat . </s>	<s> But it didn 't really suit her . </s>
<s> Bob needed groceries . </s>	<s> So he drove to the store to buy them . </s>
<s> They took her up on the offer and paid her to help . </s>	<s> Sue was happy to make the extra money . </s>
<s> Bob and Sue were playing a board game . </s>	<s> At first , Bob was winning the game . </s>
<s> Sue had to tell him to go home . </s>	<s> He was very angry about being sent home . </s>
<s> When Bob goes to school in the morning , he has to take the bus . </s>	<s> One day Bob was running late , and missed the bus to school . </s>
<s> Bob woke up very late for school . </s>	<s> It was so late that he missed his bus ! </s>
<s> Bob wasn 't paying attention while driving . </s>	<s> The traffic light in front of him turned red . </s>
<s> Bob and his friends were playing baseball . </s>	<s> It was a good game . </s>
<s> She invited all of Sue 's friends over . </s>	<s> She got a lot of food and a big cake . </s>
<s> His mother told him that they must go to the doctor . </s>	<s> At the doctor , Bob was worried he 'd have to get a shot . </s>
<s> Bob and his girlfriend Sue went hiking . </s>	<s> It was a beautiful day to be outside . </s>
<s> Bob recommended that she should break up with him . </s>	<s> The next day , Bob arrived to school . </s>
<s> Bob bought the store from Sue . </s>	<s> He always locked the door . </s>
<s> The restaurant he chose was quite fancy . </s>	<s> Bob decided he needed to buy a suit . </s>
<s> Sue had the phone , and picked up the milk . </s>	<s> Her mother stared at her when she handed her the milk . </s>
<s> Bob knew that he wanted the dog and asked his mom . </s>	<s> She agreed to let him get a dog if you took care of it . </s>
<s> Sue dreamed of having his own restaurant so he held bake sales . </s>	<s> He didn 't make enough money to open his restaurant but someone helped . </s>
<s> He asked his friend if he could pay for him . </s>	<s> Bob 's friend agreed . </s>
<s> She ate all of the chocolate they bought her in one night . </s>	<s> Sue felt sick . </s>
<s> She stayed late when her boss asked . </s>	<s> Sue 's boss told her he 'd give her the raise . </s>
<s> Her friend loved it . </s>	<s> Sue was proud . </s>
<s> However , Sue did not want her to leave . </s>	<s> She held on to her mom and cried . </s>
<s> Sue showed up and did her best . </s>	<s> She made the team that day . </s>
<s> Bob got a bag of candy from his mom . </s>	<s> He went to his friend 's house to play with the dog . </s>
<s> Bob went home , scared , he didn 't know how he would pay for rent . </s>	<s> He got online and looked how to make money . </s>
<s> Sue wanted to know where she got it . </s>	<s> But the teacher was talking to the class . </s>
<s> Bob was playing games with his family . </s>	<s> They all had fun . </s>
<s> Bob rode his bike to the store . </s>	<s> He left his bike outside and went into the store . </s>
<s> Sue told him she didn 't think it would be a good idea . </s>	<s> Later her friends were upset she since they wanted to go to a party . </s>
<s> Every weekend they got together to study . </s>	<s> Bob and all his friends got great grades in high school ! </s>
<s> Bob was mad at his mom for it . </s>	<s> His mom gave him a pair of headphones . </s>
<s> Bob was tired . </s>	<s> So he decided to make coffee . </s>
<s> She sat down in an empty chair . </s>	<s> A girl walked in and wanted Sue 's chair so she could sit with a friend </s>
<s> Bob rushed to try to stop the train but failed . </s>	<s> He spent all night getting it back . </s>
<s> Sue had money , but no way to the store to use it . </s>	<s> She wondered if she should ask her grandpa for a ride . </s>
<s> Sue lost her keys one day . </s>	<s> She was worried ! </s>
<s> One morning Sue woke up and got a great surprise . </s>	<s> Sue 's mom had found the perfect pet for a small home . </s>
<s> We used to have a driver named Bob . </s>	<s> Bob liked to drink . </s>
<s> Bob loves video games . </s>	<s> He plays online games to make friends . </s>
<s> Bob took a huge bowl of it . </s>	<s> The taste was so terrible . </s>
<s> Sue needs to pay her bills . </s>	<s> She got a job at the mall that paid her well . </s>
<s> Bob could not find his phone when he arrived home from school . </s>	<s> He looked everywhere for it . </s>
<s> Sue looked through her things and found it . </s>	<s> She didn 't bring it up because she didn 't want to fight . </s>
<s> Sue like the music of a cool girl group . </s>	<s> She also liked their clothes . </s>
<s> Bob 's family worked very hard to fix the house back up . </s>	<s> Unfortunately , they were unable to do so . </s>
<s> Bob got out of the car and went back inside . </s>	<s> He turned the light off and went on his way . </s>
<s> Luckily , her boss did not see her coming in late . </s>	<s> Sue knew she had gotten lucky . </s>
<s> He trained hard and ended up becoming very good . </s>	<s> The next time a bully started in on him , Bob knocked him out . </s>
<s> After trying to walk without help , Bob decided to go to the doctor . </s>	<s> The doctor told Bob that his foot was broken . </s>
<s> Sue could not decide on a Christmas gift for her boyfriend . </s>	<s> She had very little money . </s>
<s> Sue wanted to lose weight . </s>	<s> She started walking to work . </s>
<s> Bob needed to do many chores . </s>	<s> He tried to do several at the same time to get done faster . </s>
<s> Sue was happy to hear that she received the job . </s>	<s> Sue paid her bills and had money left over to save that month . </s>
<s> Bob was stopped on the side of the road with a flat tire . </s>	<s> He had no idea how to change a tire . </s>
<s> However , he realizes he left his wallet at home . </s>	<s> After missing the train to get his wallet , Bob feels quite happy . </s>
<s> Bob has never taken an online class before . </s>	<s> But he wanted to know what it was like . </s>
<s> Bob studied very hard everyday . </s>	<s> Bob got good enough grades to go to the pizza party ! </s>
<s> Sue met a new dog . </s>	<s> Her mother said she was not allowed to play with strange dogs . </s>
<s> Bob was cleaning his pool one day . </s>	<s> He then answered a phone call . </s>
<s> Sam was too shy to ask a girl to prom . </s>	<s> His friend Bob said he would help out . </s>
<s> Her parents bought her one . </s>	<s> And Sue was happy . </s>
<s> He saw a guy giving out free ice cream . </s>	<s> Bob took a huge bowl of it . </s>
<s> As she sat he offered her a sandwich . </s>	<s> All Sue wanted was to go to the friends . </s>
<s> But the next morning , Sue arrived an hour late . </s>	<s> Her boss fired her then and there . </s>
<s> Sue wanted Bob to ask her on a date . </s>	<s> Sue did not know how to get Bob 's attention . </s>
<s> Sue was home alone because her parents were on a trip . </s>	<s> She began getting scared as night approached . </s>
<s> Bob spent the next three hours playing his new video game . </s>	<s> It was better than he thought it would be ! </s>
<s> Bob decided to go to his best friend 's party . </s>	<s> Bob failed his test . </s>
<s> His dad practiced with him every day . </s>	<s> On game day , Bob was excited . </s>
<s> It was Bob 's first day at his new job . </s>	<s> He set his alarm clock to wake him up early . </s>
<s> He noticed he had run out of dog food . </s>	<s> Bob left to the store to buy dog food . </s>
<s> Bob thought his girlfriend was cheating on him . </s>	<s> He would catch her on the phone with another person . </s>
<s> He asked her friends . </s>	<s> Unfortunately they told Bob 's girlfriend about it . </s>
<s> Sue and her dad went to the ice cream shop . </s>	<s> She decided she wanted to try something different . </s>
<s> Bob 's family did not have internet service . </s>	<s> To do his homework , he always had to go to the library . </s>
<s> Bob gets to teach kids sports and games . </s>	<s> Bob loves his job . </s>
<s> Bob got called on to come on stage . </s>	<s> He got to meet the police dog . </s>
<s> On her first day of school , she met Bob . </s>	<s> His family seemed a little weird . </s>
<s> They didn 't get to talk to each other much at the movie . </s>	<s> Bob decided he would take her out to dinner next so they can talk . </s>
<s> Sue was at her grandma 's house . </s>	<s> Her sister and her cousin had gone home . </s>
<s> Bob was extremely excited for his birthday . </s>	<s> He woke up early . </s>
<s> Sue was sitting at a bar with her friends and put her phone down . </s>	<s> All of a sudden , she looked down and her phone wasn 't there . </s>
<s> Bob failed his math class in middle school . </s>	<s> He was hoping his parents would never find out . </s>
<s> Bob was excited and took a picture with the bird . </s>	<s> The bird suddenly flew away . </s>
<s> Bob had a flat tire on his truck . </s>	<s> He changed the tire on the side of the road . </s>
<s> Sue decided to tell people . </s>	<s> Bob became upset with Sue . </s>
<s> When he got to the store he immediately ran to the chocolate . </s>	<s> Bob grabbed the first chocolate bar he saw and took a bite . </s>
<s> Bob won the first two games . </s>	<s> I won the next two . </s>
<s> Sue always drinks coffee in the morning . </s>	<s> Today she one cup at home . </s>
<s> Bob saw a toy store and rushed over to check out all the toys . </s>	<s> He then realized that he couldn 't find his mom ! </s>
<s> Sue was used to speeding . </s>	<s> She had never gotten a traffic ticket before . </s>
<s> Bob hates his job . </s>	<s> Today at work he just wants to quit . </s>
<s> Bob woke up this morning and he was out of them . </s>	<s> Bob had to go to the store . </s>
<s> Sue was having her birthday party in a few days . </s>	<s> She wanted to pick out a really nice looking dress . </s>
<s> Bob was going to his grandmother 's house . </s>	<s> He wanted to give her a present . </s>
<s> Bob just needed a job . </s>	<s> He didn 't care where it was or what he did . </s>
<s> He was hurt and upset over it . </s>	<s> Sue explained what happened and they worked it out . </s>
<s> His dad was an hour late . </s>	<s> Bob was mad at his father for making him wait . </s>
<s> Sue got a dog . </s>	<s> She loved the dog very much . </s>
<s> Sue wanted to learn how to draw . </s>	<s> She bought art supplies and practiced every day . </s>
<s> They named her Sue . </s>	<s> Sue went everywhere with them . </s>
<s> Bob was going to a baseball game with his family . </s>	<s> He had never been to a professional baseball game before . </s>
<s> He went out to a bar to meet people . </s>	<s> He met a friend named Bobby . </s>
<s> Sue 's mom asked her what she would like to eat . </s>	<s> Sue knew right away what she wanted to eat ! </s>
<s> Sue and her grandpa were driving home . </s>	<s> Sue was telling him how scared she was being lost . </s>
<s> Bob was at the mall . </s>	<s> And he wanted something to drink . </s>
<s> She was afraid of getting in trouble . </s>	<s> During a test , another student tried to look at Sue 's paper . </s>
<s> Bob decided he needed to quit smoking for good . </s>	<s> He went cold turkey . </s>
<s> Bob was driving and missed the red light . </s>	<s> He drove straight through . </s>
<s> A dog suddenly ran past Bob as he was walking ! </s>	<s> The dog surprised Bob so much that he dropped his phone . </s>
<s> Bob played basketball all the time . </s>	<s> He tried out for his school team . </s>
<s> Sue really loves to play soccer . </s>	<s> She joined a team with her friends and she plays everyday . </s>
<s> Bob is a brand new father ! </s>	<s> While excited , Bob is very nervous . </s>
<s> Sue married a man named Bob . </s>	<s> They were married for 20 Years and had three children . </s>
<s> Bob hated to work out . </s>	<s> He knew he needed to lose weight . </s>
<s> Sue was afraid of water . </s>	<s> Sue and her friend were playing near a pond . </s>
<s> Bob was very hungry . </s>	<s> He was sick of chicken . </s>
<s> Bob is part of the school soccer team . </s>	<s> He was never the best player . </s>
<s> Sue loved to go hiking . </s>	<s> There was one problem . </s>
<s> Sue lives by a large lake full of fish . </s>	<s> She always wanted to take up fishing . </s>
<s> But none of her friends were interested . </s>	<s> Then Sue had a better idea . </s>
<s> Sue loved the new sweater she got yesterday . </s>	<s> She wore it everywhere now . </s>
<s> But 3 days later she still hadn 't told her . </s>	<s> Sue didn 't want to ask again . </s>
<s> Later , his manager called Bob to his office . </s>	<s> There , he fired Bob ! </s>
<s> Bob 's favorite soup is chicken soup . </s>	<s> It 's the only kind of soup he will eat . </s>
<s> Bob saw his neighbor 's cat in his tree . </s>	<s> He brought it to the attention of his neighbor . </s>
<s> His coworker suggested he drink some coffee . </s>	<s> Bob drank some coffee . </s>
<s> Last Friday night , he met a girl who invited him to a car wash . </s>	<s> The following morning Bob drove to the car wash . </s>
<s> He was finally able to find a good spot after driving 10 minutes . </s>	<s> Bob called up his mom and told her he would be running late . </s>
<s> Sue wanted cake . </s>	<s> Her grandmother insisted she wait until after dinner . </s>
<s> Sue ran to her mom and asked if she had taken her phone . </s>	<s> She cried when she found out her mother didn 't have the phone . </s>
<s> Bob decided to go for a hike . </s>	<s> During the hike , he came across a black bear . </s>
<s> His father did not notice and kept walking . </s>	<s> Bob looked up and his father was gone ! </s>
<s> Sue 's local library didn 't have the books she needed . </s>	<s> She had no way to go to another library . </s>
<s> Bob loved green apples . </s>	<s> He had one in the fridge . </s>
<s> Sue wanted to cook an apple pie . </s>	<s> She went to the local market to get all the supplies . </s>
<s> Sue decided to end things with Bob . </s>	<s> Sue and Bob broke up . </s>
<s> The only problem was they lived in a one bedroom apartment . </s>	<s> Sue and Bob went and looked at many different house . </s>
<s> Her mom told her they could go shopping instead . </s>	<s> Sue started to feel better after she bought a new toy ! </s>
<s> Sue wanted a new dress for her Christmas party . </s>	<s> But she couldn 't afford to buy one . </s>
<s> He made a list of the ingredients he would need . </s>	<s> Bob bought the ingredients at the grocery store . </s>
<s> Bob needed to water his lawn . </s>	<s> So he got dressed and went outside . </s>
<s> Sue saw that there was a sale at a local store . </s>	<s> Sue went shopping at the store for an hour . </s>
<s> She decided to try to quit smoking . </s>	<s> Sue thought she would need help to quit . </s>
<s> Sue needed to buy a gift for her mother 's birthday . </s>	<s> She drove to the store and began to look around . </s>
<s> Sue never made more than one hundred likes on Facebook . </s>	<s> So she quit trying to get likes . </s>
<s> So he was nervous inside his friend Sue 's house . </s>	<s> Bob and Sue were at the computer . </s>
<s> Bob was going to make a cake . </s>	<s> However , he was out of sugar . </s>
<s> Sue was at the library with her grandma . </s>	<s> She got off Facebook because she was getting upset . </s>
<s> She called to the puppy but he was nowhere around . </s>	<s> Bob cried when she told him the puppy ran away . </s>
<s> When the day arrived , Sue 's friend was sick and could not come . </s>	<s> Sue decided to bring her friend some tea so she could still see her . </s>
<s> While they were walking home , Bob tripped and dropped his . </s>	<s> He didn 't have any more money to get another . </s>
<s> Sue loved going to the lake . </s>	<s> She would go all the time . </s>
<s> It was usually hot were Sue lived . </s>	<s> But everyone was surprised when it was cold one day . </s>
<s> Her mom called her best friend Sue . </s>	<s> Sue said they were at the movies . </s>
<s> He turned to see his sister eating out of it . </s>	<s> Bob ran up and hit his sister . </s>
<s> Bob came from a very poor family . </s>	<s> He wanted to go to college but could not afford it . </s>
<s> It was supposed to storm the entire day . </s>	<s> Sue was not able to swim that day . </s>
<s> But he really doesn 't have the money to buy a new TV . </s>	<s> Bob called his brother to see if he could come over to watch the game . </s>
<s> So his mom told him to go to the town pool . </s>	<s> Bob went over by himself . </s>
<s> This would be the first real party she would ever go to . </s>	<s> Sue searched for something to wear . </s>
<s> She went to the mall Friday morning to get a dress for the show . </s>	<s> Sue found the perfect blue dress and black shoes . </s>
<s> Sue called her dad to ask for money . </s>	<s> She was nervous , but she had no one else to ask . </s>
<s> Bob had been playing basketball for hours . </s>	<s> He felt so much better after his shower . </s>
<s> He decided to set it up in the house . </s>	<s> When his friend saw it , he asked if Bob can play it . </s>
<s> Bob was running late for work . </s>	<s> He rushed out to his car to leave . </s>
<s> Sue was annoyed at the new boy on her school bus . </s>	<s> She walked behind him as he entered the school . </s>
<s> Sue was tired . </s>	<s> But her neighbors were having a loud party . </s>
<s> The next morning , Sue was supposed to open the coffee shop . </s>	<s> Instead , she left a long letter and the keys to the shop . </s>
<s> Before having dinner , Bob worked on putting up the lights . </s>	<s> He ran out of time before he had to eat with the family . </s>
<s> But the next day , Bob showed up drunk . </s>	<s> His boss caught him and fired him immediately . </s>
<s> Bob used it for his science project at school . </s>	<s> Bob got an A on his science project . </s>
<s> Bob needs a big fish for the dinner he is planning to cook . </s>	<s> He goes to the fish market . </s>
<s> But when he graduated college , he couldn 't find a job . </s>	<s> Bob was able to offer him one . </s>
<s> Sue didn 't have a car , though . </s>	<s> She didn 't even know anyone in class with a car . </s>
<s> Bob thought he was a great basketball player . </s>	<s> His best friend challenged him to a game . </s>
<s> Sue loved to talk on the phone . </s>	<s> She talked on the phone for three hours every night . </s>
<s> Sue had prepare for this race for months . </s>	<s> The race began and Sue took off . </s>
<s> Bob had to write a book report . </s>	<s> He started by reading his favorite book . </s>
<s> He bought the cookies and took them home . </s>	<s> Bob determined that he liked the new brand better . </s>
<s> They went to bed early , but forgot about the ice cream on the counter ! </s>	<s> When they woke up the next day , Sue had to clean up a huge mess . </s>
<s> Sue was embarrassed of her country cousin . </s>	<s> She didn 't want to bring her cousin around her school friends . </s>
<s> Bob was looking through his closet one day , when he saw a pair of shoes </s>	<s> He took out the shoes and tried them on . </s>
<s> Sue always tried to make friends . </s>	<s> She wanted to be friends with everyone . </s>
<s> One day he pushed the wrong person . </s>	<s> It was Bob who he pushed that day . </s>
<s> It was mother 's day . </s>	<s> Bob wanted to do something special for his mother . </s>
<s> Bob shot at the bird but missed it . </s>	<s> Bob shot at the bird and hit it in the head . </s>
<s> His best friend challenged him to a game . </s>	<s> Bob played a great game . </s>
<s> Sue was afraid to tell her mother she didn 't have the book . </s>	<s> After school they searched Sue 's room and didn 't find the book . </s>
<s> Bob went to his kitchen to get a drink . </s>	<s> He poured some water in a glass and went to his living room . </s>
<s> Bob came out of the doctor 's office . </s>	<s> He was walking funny since he felt tired . </s>
<s> Bob wanted to get a cat to keep him company . </s>	<s> He drove to the pet store on the weekend . </s>
<s> They planned a big party . </s>	<s> It was the best birthday Sue ever had . </s>
<s> As a result she broke her glasses . </s>	<s> Sue then immediately took them to be fixed . </s>
<s> However his dad came home empty handed because he was broke . </s>	<s> Bob decided he loved his dad anyway . </s>
<s> Bob 's friend bought him a new book . </s>	<s> Bob was grateful to have a good friend . </s>
<s> His friends loved when he would tell them his stories . </s>	<s> Bob started writing down his stories . </s>
<s> Sue had a dog and a cat . </s>	<s> The dog got sick . </s>
<s> Sue was watching a show she really liked on TV at her uncle 's house . </s>	<s> That is until her mother was ready to go home . </s>
<s> They were in town and Sue 's friends were all going . </s>	<s> Unfortunately , all the tickets were sold out . </s>
<s> Bob was a father who didn 't get a chance to see his daughter often . </s>	<s> One day he had time off and went to visit her in the country . </s>
<s> He threw it at Sue . </s>	<s> Sue began to cry . </s>
